[2023-03-20T09:45:33.023] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:45:33.296] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:47:31.819] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:47:32.086] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:47:44.276] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:47:44.279] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:48:24.001] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:48:24.256] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:48:39.064] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:48:39.318] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:12:33.455] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:12:33.896] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:25:10.012] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:25:10.298] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:26:42.142] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:26:42.397] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:30:06.764] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:30:07.025] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:50:03.878] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:50:03.884] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:50:10.347] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T10:50:12.464] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T10:50:12.469] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T11:03:14.328] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T11:03:14.334] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T11:03:14.829] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T11:03:15.893] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T11:03:15.902] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
